Nvalid,StateName,NPostCode,NYear,NClimateZone,StarRating,Exposure,X,CertificateHeating,CertificateSCool,CertificateLCool,TotalFlArea,TotFloorArea,SlabOnGroundArea,FloorsAboveGround,SubfloorFloorArea,FloorsAboveNeighbours_100,CeilingsBelowNeighbours,TotalSharedSurfaceArea,FloorHeightmin,FloorHeightmax,NumberofLiving,NumberofBedrooms,MStorey,NStorey
1,     NSW,2402,18,8,7.3,            Open,NA,    29.74,    32.94,     5.55,163.6,163.6,163.6,0,0,0,0,0,0.25,0.25,1,4,0,1
2,     NSW,2400,18,8,4.5,            Open,NA,    50.27,    73.02,     8.21,209.5,209.5,0,0,0,0,0,0,0.6,0.6,3,5,0,1
3,     NSW,2478,16,10,4.9,        Suburban,NA,    37.90,    24.02,     8.39,138.8,106.3,138.8,0,0,0,0,0,0,0,1,2,0,1
4,     NSW,2478,16,10,5.7,        Suburban,NA,    33.66,    17.07,     7.68,138,104.3,138,0,0,0,0,0,0,0,1,2,0,1
5,     NSW,2478,16,10,6.2,        Suburban,NA,    28.42,    16.68,     6.47,129.7,104,129.7,0,0,0,0,0,0,0,1,3,0,1
6,     NSW,2478,16,10,5.1,        Suburban,NA,    35.07,    22.98,     7.81,144.9,112.4,144.9,0,0,0,0,0,0,0,1,3,0,1
7,     NSW,2478,16,10,5.8,        Suburban,NA,    32.06,    15.62,     6.29,141.9,114.2,141.9,0,0,0,0,0,0,0,2,3,0,1
8,     NSW,2478,16,10,4.8,        Suburban,NA,    37.68,    26.19,     8.65,138.8,106.3,138.8,0,0,0,0,0,0,0,1,2,0,1
9,     NSW,2478,16,10,6,        Suburban,NA,    28.55,    17.63,     7.34,138.3,103.8,138.3,0,0,0,0,0,0,0,1,2,0,1
10,     NSW,2478,16,10,4.7,        Suburban,NA,    37.31,    27.61,     9.00,138.8,106.3,138.8,0,0,0,0,0,0,0,1,2,0,1
11,     NSW,2478,16,10,5.7,        Suburban,NA,    28.92,    17.68,     7.48,158.5,124.8,158.5,0,0,0,0,0,0,0,1,3,0,1
12,     NSW,2478,16,10,6.2,        Suburban,NA,    28.42,    16.68,     6.47,129.7,104,129.7,0,0,0,0,0,0,0,1,3,0,1
13,     NSW,2478,16,10,5.4,        Suburban,NA,    32.23,    19.96,     8.30,138,104.3,138,0,0,0,0,0,0,0,1,2,0,1
14,     NSW,2478,16,10,6.1,        Suburban,NA,    25.37,    18.34,     8.59,138,104.3,138,0,0,0,0,0,0,0,1,2,0,1
15,     NSW,2478,16,10,4.7,        Suburban,NA,    37.45,    27.57,     8.92,138.8,106.3,138.8,0,0,0,0,0,0,0,1,2,0,1
16,     NSW,2478,16,10,5.8,        Suburban,NA,    32.06,    15.62,     6.29,141.9,114.2,141.9,0,0,0,0,0,0,0,2,3,0,1
17,     NSW,2478,16,10,5.1,        Suburban,NA,    35.07,    22.98,     7.81,144.9,112.4,144.9,0,0,0,0,0,0,0,1,3,0,1
18,     NSW,2478,16,10,5.7,        Suburban,NA,    28.89,    17.71,     7.50,158.5,124.8,158.5,0,0,0,0,0,0,0,1,3,0,1
19,     NSW,2478,16,10,5.6,        Suburban,NA,    28.60,    19.79,     7.81,141.9,114.2,141.9,0,0,0,0,0,0,0,2,3,0,1
20,     NSW,2478,16,10,6,        Suburban,NA,    28.46,    16.83,     8.34,138,104.3,138,0,0,0,0,0,0,0,1,2,0,1
21,     NSW,2478,16,10,5.5,        Suburban,NA,    33.64,    18.74,     7.15,138.3,103.8,138.3,0,0,0,0,0,0,0,1,2,0,1
22,     NSW,2478,16,10,5.7,        Suburban,NA,    28.96,    19.04,     7.70,141.9,114.2,141.9,0,0,0,0,0,0,0,2,3,0,1
23,     NSW,2478,16,10,4.9,        Suburban,NA,    36.08,    25.59,     9.25,138.8,106.3,138.8,0,0,0,0,0,0,0,1,2,0,1
24,     NSW,2478,16,10,4.9,        Suburban,NA,    34.70,    23.60,     8.50,144.9,112.4,144.9,0,0,0,0,0,0,0,1,3,0,1
