Nvalid,StateName,NPostCode,NYear,NClimateZone,StarRating,Exposure,X,CertificateHeating,CertificateSCool,CertificateLCool,TotalFlArea,TotFloorArea,SlabOnGroundArea,FloorsAboveGround,SubfloorFloorArea,FloorsAboveNeighbours_100,CeilingsBelowNeighbours,TotalSharedSurfaceArea,FloorHeightmin,FloorHeightmax,NumberofLiving,NumberofBedrooms,MStorey,NStorey
1,     NSW,2402,18,8,7.2,            Open,NA,    34.00,    32.68,     5.59,163.6,163.6,163.6,0,0,0,0,0,0.25,0.25,1,4,0,1
2,     NSW,2400,18,8,4.6,            Open,NA,    50.52,    70.36,     8.13,209.5,209.5,0,0,0,0,0,0,0.6,0.6,3,5,0,1
3,     NSW,2478,16,10,4.7,        Suburban,NA,    41.70,    23.11,     8.16,138.8,106.3,138.8,0,0,0,0,0,0,0,1,2,0,1
4,     NSW,2478,16,10,5.6,        Suburban,NA,    36.11,    15.97,     7.33,138,104.3,138,0,0,0,0,0,0,0,1,2,0,1
5,     NSW,2478,16,10,5.9,        Suburban,NA,    31.30,    16.55,     6.43,129.7,104,129.7,0,0,0,0,0,0,0,1,3,0,1
6,     NSW,2478,16,10,4.9,        Suburban,NA,    38.51,    22.23,     7.79,144.9,112.4,144.9,0,0,0,0,0,0,0,1,3,0,1
7,     NSW,2478,16,10,5.6,        Suburban,NA,    35.38,    14.72,     6.01,141.9,114.2,141.9,0,0,0,0,0,0,0,2,3,0,1
8,     NSW,2478,16,10,4.6,        Suburban,NA,    41.23,    24.94,     8.49,138.8,106.3,138.8,0,0,0,0,0,0,0,1,2,0,1
9,     NSW,2478,16,10,5.9,        Suburban,NA,    31.03,    16.57,     7.19,138.3,103.8,138.3,0,0,0,0,0,0,0,1,2,0,1
10,     NSW,2478,16,10,4.6,        Suburban,NA,    40.50,    25.75,     8.57,138.8,106.3,138.8,0,0,0,0,0,0,0,1,2,0,1
11,     NSW,2478,16,10,5.6,        Suburban,NA,    31.15,    16.68,     7.39,158.5,124.8,158.5,0,0,0,0,0,0,0,1,3,0,1
12,     NSW,2478,16,10,5.9,        Suburban,NA,    31.30,    16.55,     6.43,129.7,104,129.7,0,0,0,0,0,0,0,1,3,0,1
13,     NSW,2478,16,10,5.4,        Suburban,NA,    34.62,    18.65,     7.92,138,104.3,138,0,0,0,0,0,0,0,1,2,0,1
14,     NSW,2478,16,10,6,        Suburban,NA,    28.12,    17.59,     8.28,138,104.3,138,0,0,0,0,0,0,0,1,2,0,1
15,     NSW,2478,16,10,4.6,        Suburban,NA,    40.55,    26.16,     8.64,138.8,106.3,138.8,0,0,0,0,0,0,0,1,2,0,1
16,     NSW,2478,16,10,5.6,        Suburban,NA,    35.38,    14.72,     6.01,141.9,114.2,141.9,0,0,0,0,0,0,0,2,3,0,1
