Nvalid,StateName,NPostCode,NYear,NClimateZone,StarRating,Exposure,X,CertificateHeating,CertificateSCool,CertificateLCool,TotalFlArea,TotFloorArea,SlabOnGroundArea,FloorsAboveGround,SubfloorFloorArea,FloorsAboveNeighbours_100,CeilingsBelowNeighbours,TotalSharedSurfaceArea,FloorHeightmin,FloorHeightmax,NumberofLiving,NumberofBedrooms,MStorey,NStorey
1,      NT,810,16,1,6.1,        Suburban,NA,0,184.41,   109.02,565.9,493.3,565.9,0,0,0,0,0,0.2,0.2,3,3,0,1
2,      NT,832,16,1,6.4,        Suburban,NA,0,306.38,    77.35,91.2,91.2,91.2,0,0,0,0,0,0.3,0.3,2,4,0,1
3,      NT,832,16,1,6,        Suburban,NA,0,325.12,    93.97,100,79.9,100,0,0,0,0,0,0.3,0.3,1,2,0,1
4,      NT,832,16,1,6.1,        Suburban,NA,0,256.11,    95.53,202.8,167.3,202.8,0,0,0,0,0,0.25,0.25,2,4,0,1
5,      NT,832,17,1,6.3,        Suburban,NA,0.02,299.88,    85.58,118.8,86.9,118.8,0,0,0,0,0,0.15,0.25,2,3,0,1
6,      NT,810,17,1,6.2,        Suburban,NA,0.04,247.61,    91.53,233.3,198.4,233.3,0,0,0,0,0,0.15,0.2,2,4,0,1
7,      NT,832,17,1,6.9,        Suburban,NA,0.01,226.07,    77.05,179.5,145.8,179.5,0,0,0,0,0,0.3,0.3,2,4,0,1
8,      NT,832,17,1,5.7,        Suburban,NA,0,314.25,    97.48,151.1,118.5,151.1,0,0,0,0,0,0.25,0.25,1,3,0,1
9,      NT,832,17,1,5.7,        Suburban,NA,0,335.07,    85.49,109.6,109.6,109.6,0,0,0,0,0,0.25,0.25,2,3,0,1
10,      NT,832,17,1,6.9,        Suburban,NA,0.01,225.76,    79.69,179.4,145.7,179.4,0,0,0,0,0,0.3,0.3,2,4,0,1
11,      NT,810,17,1,5.9,        Suburban,NA,0,257.79,    92.41,231.5,207.7,147.2,0,0,0,0,0,0.25,2.95,3,6,1,2
12,      NT,832,17,1,6.7,        Suburban,NA,0.03,266.18,    84.92,131.5,106.4,131.5,0,0,0,0,0,0.25,0.25,1,3,0,1
