Nvalid,StateName,NPostCode,NYear,NClimateZone,StarRating,Exposure,X,CertificateHeating,CertificateSCool,CertificateLCool,TotalFlArea,TotFloorArea,SlabOnGroundArea,FloorsAboveGround,SubfloorFloorArea,FloorsAboveNeighbours_100,CeilingsBelowNeighbours,TotalSharedSurfaceArea,FloorHeightmin,FloorHeightmax,NumberofLiving,NumberofBedrooms,MStorey,NStorey
1,     QLD,4816,18,5,6.7,            Open,NA,0.31,77.01,31.87,255.5,215.1,255.5,0,0,0,0,0,0.4,0.4,2,4,0,1
2,     QLD,4818,16,5,7.4,        Suburban,NA,1.6,71.3,33.52,141.1,109,107.2,0,0,0,0,45,0.1,2.84,1,2,1,2
3,     QLD,4818,16,5,7.4,        Suburban,NA,1.1,70.95,33.68,141.1,109,107.2,0,0,0,0,45,0.1,2.84,1,2,1,2
4,     QLD,4818,16,5,6.6,        Suburban,NA,1.43,88.33,35.74,141.1,109,107.2,0,0,0,0,45,0.1,2.84,1,2,1,2
5,     QLD,4818,16,5,6.4,        Suburban,NA,0.98,91.86,36.07,141.1,109,107.2,0,0,0,0,45,0.1,2.84,1,2,1,2
6,     QLD,4701,17,7,5.3,        Suburban,NA,9.3,72.55,25.54,177.7,177.7,177.7,0,0,0,0,0,0.1,0.1,1,6,0,1
7,     QLD,4701,15,7,5.9,        Suburban,NA,2.04,68.88,18.56,211,211,211,0,0,0,0,0,0.1,0.1,1,3,0,1
8,     QLD,4703,15,7,6.1,            Open,NA,21.77,78.17,17.73,64.5,64.5,0,0,0,0,0,0,0.1,0.1,1,1,0,1
9,     QLD,4701,17,7,6.9,        Suburban,NA,8.04,59.89,17.22,128,103,128,0,0,0,0,0,0.1,0.1,1,3,0,1
10,     QLD,4710,17,7,7.2,            Open,NA,4.51,50.34,16.45,153.1,153.1,151.1,0,0,0,0,0,1.2,1.2,1,4,0,1
11,     QLD,4701,17,7,7.5,        Suburban,NA,0.77,52.33,17.58,151.7,116.2,151.7,0,0,0,0,0,0.1,0.1,1,3,0,1
12,     QLD,4703,16,7,5.9,        Suburban,NA,4.41,81.13,16.9,119,119,119,0,0,0,0,0,0.1,0.1,1,3,0,1
13,     QLD,4701,18,7,7.5,        Suburban,NA,0.77,52.33,17.58,151.7,116.2,151.7,0,0,0,0,0,0.1,0.1,1,3,0,1
14,     QLD,4701,18,7,7.7,        Suburban,NA,1.87,48.67,16.66,151.7,116.2,151.7,0,0,0,0,0,0.1,0.1,1,3,0,1
15,     QLD,4703,18,7,7.1,        Suburban,NA,1.67,52.54,17.05,227.5,182.5,227.5,0,0,0,0,0,0.1,0.1,2,4,0,1
16,     QLD,4703,18,7,6.9,        Suburban,NA,2.7,59.42,15.69,193.15,155.15,193.15,0,0,0,0,0,0.2,0.2,2,4,0,1
17,     QLD,4703,18,7,7.3,        Suburban,NA,2.95,51.11,14.96,197.9,162.5,197.9,0,0,0,0,0,0.1,0.1,2,4,0,1
18,     QLD,4703,17,7,6,            Open,NA,13.03,65.81,15.91,197.51,154.2,62.2,0,0,0,0,0,0.1,2.8,1,5,1,2
19,     QLD,4343,17,9,7,        Suburban,NA,16.43,22.37,10.47,286.85,249.75,286.85,0,0,0,0,0,0.1,0.1,1,3,0,1
20,     QLD,4343,17,9,7.2,        Suburban,NA,17.9,31.72,13.53,91.7,74.2,91.7,0,0,0,0,19,0.1,0.1,1,2,0,1
21,     QLD,4343,17,9,6.9,        Suburban,NA,18.99,34.18,14.78,91.7,74.2,91.7,0,0,0,0,19,0.1,0.1,1,2,0,1
22,     QLD,4343,17,9,6.1,        Suburban,NA,21,48.68,14.41,91.7,74.2,91.7,0,0,0,0,19,0.1,0.1,1,2,0,1
23,     QLD,4343,17,9,6.1,        Suburban,NA,21.65,47.97,14.32,91.7,74.2,91.7,0,0,0,0,19,0.1,0.1,1,2,0,1
24,     QLD,4343,17,9,6,        Suburban,NA,22.83,48.18,14.33,91.7,74.2,91.7,0,0,0,0,19,0.1,0.1,1,2,0,1
25,     QLD,4343,17,9,6.1,        Suburban,NA,21.65,47.97,14.32,91.7,74.2,91.7,0,0,0,0,19,0.1,0.1,1,2,0,1
26,     QLD,4343,17,9,6,        Suburban,NA,22.83,48.18,14.33,91.7,74.2,91.7,0,0,0,0,19,0.1,0.1,1,2,0,1
27,     QLD,4343,17,9,6.1,        Suburban,NA,21.65,47.97,14.32,91.7,74.2,91.7,0,0,0,0,19,0.1,0.1,1,2,0,1
28,     QLD,4343,17,9,6,        Suburban,NA,22.83,48.18,14.33,91.7,74.2,91.7,0,0,0,0,19,0.1,0.1,1,2,0,1
29,     QLD,4343,17,9,6.1,        Suburban,NA,21.46,48.27,14.37,91.7,74.2,91.7,0,0,0,0,19,0.1,0.1,1,2,0,1
30,     QLD,4343,17,9,6,        Suburban,NA,26.9,41.72,16.13,91.7,74.2,91.7,0,0,0,0,19,0.1,0.1,1,2,0,1
31,     QLD,4343,17,9,6.3,        Suburban,NA,28.09,37.63,14.17,91.7,74.2,91.7,0,0,0,0,19,0.1,0.1,1,2,0,1
32,     QLD,4343,17,9,6.1,        Suburban,NA,28.11,39.57,15.67,91.7,74.2,91.7,0,0,0,0,19,0.1,0.1,1,2,0,1
33,     QLD,4343,17,9,6.1,        Suburban,NA,28.11,39.57,15.67,91.7,74.2,91.7,0,0,0,0,19,0.1,0.1,1,2,0,1
34,     QLD,4343,17,9,6.3,        Suburban,NA,25.97,38.94,14.52,91.7,74.2,91.7,0,0,0,0,19,0.1,0.1,1,2,0,1
35,     QLD,4343,17,9,7.2,        Suburban,NA,14.59,34.15,13.78,91.7,74.2,91.7,0,0,0,0,19,0.1,0.1,1,2,0,1
36,     QLD,4343,17,9,6.9,        Suburban,NA,14.18,36.95,15.3,91.7,74.2,91.7,0,0,0,0,19,0.1,0.1,1,2,0,1
37,     QLD,4343,17,9,6.3,        Suburban,NA,28.09,37.63,14.17,91.7,74.2,91.7,0,0,0,0,19,0.1,0.1,1,2,0,1
38,     QLD,4504,16,9,6.1,        Suburban,NA,16.52,41.69,13.29,173.01,136.01,173.01,0,0,0,0,0,0.3,0.38,2,4,0,1
39,     QLD,4504,16,9,6.3,        Suburban,NA,17.16,38.88,12.79,173.01,136.01,173.01,0,0,0,0,0,0.3,0.38,2,4,0,1
40,     QLD,4504,16,9,6.9,        Suburban,NA,10.89,34.27,12.44,173.01,136.01,173.01,0,0,0,0,0,0.3,0.38,2,4,0,1
41,     QLD,4306,16,9,6.5,        Suburban,NA,11.25,32.23,13.9,202.23,202.23,202.23,0,0,0,0,14,0.05,0.05,2,1,0,1
42,     QLD,4305,18,9,6.4,        Suburban,NA,4.65,37.22,13.86,317.7,273.5,317.7,0,0,0,0,0,0.1,0.1,1,4,0,1
43,     QLD,4509,16,9,6.9,        Suburban,NA,23.98,29.51,6.41,164.8,131.1,164.8,0,0,0,0,0,0.1,0.1,1,4,0,1
44,     QLD,4305,16,9,6.2,        Suburban,NA,19.13,46.65,9.63,117.02,97.02,117.02,0,0,0,0,15,0.1,0.1,1,3,0,1
45,     QLD,4305,16,9,6.4,        Suburban,NA,10.02,57.17,11.22,63,44,63,0,0,0,0,40,0.1,0.1,1,1,0,1
46,     QLD,4510,16,9,6.9,        Suburban,NA,21.98,30.72,6.61,164.1,130.3,164.1,0,0,0,0,0,0.1,0.1,1,4,0,1
47,     QLD,4515,17,9,5.9,        Suburban,NA,25.24,46.44,16.28,93,66,93,0,0,0,0,0,0.1,0.1,1,1,0,1
48,     QLD,4341,17,9,6,        Suburban,NA,25.16,56.44,9.43,57.5,57.5,0,6500,65,0,0,0,0.6,0.6,1,2,0,1
49,     QLD,4341,17,9,6.1,        Suburban,NA,27.07,52.81,8.97,57.5,57.5,0,6500,65,0,0,0,0.6,0.6,1,2,0,1
50,     QLD,4306,17,9,7.9,        Suburban,NA,13.63,22.07,6.85,169.94,169.94,169.94,0,0,0,0,0,0.1,0.1,1,3,0,1
51,     QLD,4208,16,10,5.8,        Suburban,NA,14.86,15.32,8.25,410.26,346.81,410.26,0,0,0,0,0,0.1,0.1,1,4,0,1
52,     QLD,4078,17,10,5.4,            Open,NA,17.29,11.19,9.02,651.12,651.12,651.12,0,0,0,0,0,0.1,0.1,1,4,0,1
53,     QLD,4128,17,10,5.6,        Suburban,NA,15.87,17.74,7.62,391.5,335.5,227.5,0,0,0,0,0,0.1,2.93,1,4,1,2
54,     QLD,4213,17,10,6.9,            Open,NA,12.86,12.46,5.4,323.84,323.84,323.84,0,0,0,0,0,0.1,0.1,1,5,0,1
55,     QLD,4207,15,10,7.3,        Suburban,NA,7.83,15.46,10.08,214.3,171.62,214.3,0,0,0,0,0,0.21,0.38,2,4,0,1
56,     QLD,4214,15,10,6.7,        Suburban,NA,15.56,14.37,10.63,175.1,146.1,175.1,0,0,0,0,0,0.1,0.1,1,3,0,1
57,     QLD,4207,15,10,5.6,        Suburban,NA,20.67,18.74,10.66,197.72,162.93,197.72,0,0,0,0,0,0.38,0.38,2,4,0,1
58,     QLD,4207,15,10,6.5,        Suburban,NA,7.26,21.32,11.99,197.72,162.93,197.72,0,0,0,0,0,0.38,0.38,2,4,0,1
59,     QLD,4551,16,10,6.2,        Suburban,NA,9.15,29.22,10.88,154.81,121.7,154.81,0,0,0,0,0,0.3,0.38,2,3,0,1
60,     QLD,4213,16,10,6.4,            Open,NA,16.51,11.46,5.99,373,288,373,0,0,0,0,0,0.1,0.1,1,4,0,1
61,     QLD,4221,17,10,5.8,        Suburban,NA,22.56,19.62,9.29,144.46,124.06,76.5,0,0,0,0,109,0.1,3.9,1,3,1,2
62,     QLD,4221,17,10,5.6,        Suburban,NA,25.32,18.46,10.1,144.46,124.06,76.5,0,0,0,0,109,0.1,3.9,1,3,1,2
63,     QLD,4165,16,10,4.7,        Suburban,NA,21.19,20.61,9.81,430,338,430,0,0,0,0,0,0.1,0.1,1,4,0,1
64,     QLD,4207,16,10,6.6,        Suburban,NA,9.43,19.38,11.34,194.21,160.63,194.21,0,0,0,0,0,0.29,0.38,2,4,0,1
65,     QLD,4217,18,10,5.1,        Suburban,NA,14.75,30.9,11.28,187.7,180.85,99.45,0,0,0,0,0,0.1,3.14,1,4,1,2
66,     QLD,4217,18,10,6,        Suburban,NA,10.04,24.88,9.8,212.85,179.45,126.3,0,0,0,0,0,0.1,3.14,1,4,1,2
67,     QLD,4207,16,10,5.4,        Suburban,NA,9.31,29.62,13.54,194.21,160.63,194.21,0,0,0,0,0,0.29,0.38,2,4,0,1
68,     QLD,4223,18,10,6.9,            Open,NA,25.01,24.3,7.77,71.7,35.2,52.9,0,20,0,0,0,2.1,2.1,1,1,0,1
69,     QLD,4112,16,10,5.2,        Suburban,NA,18.33,26.56,11.5,156.68,156.68,156.68,0,0,0,0,0,0.1,0.1,1,3,0,1
70,     QLD,4217,16,10,8.5,        Suburban,NA,10.3,8.87,6.45,105.5,105.5,105.5,0,0,0,0,19,0.1,0.1,1,2,0,1
71,     QLD,4217,16,10,7.7,        Suburban,NA,12.03,13.54,8.94,95.53,95.53,95.53,0,0,0,0,18,0.1,0.1,1,2,0,1
72,     QLD,4217,16,10,6.1,        Suburban,NA,17.07,21.92,5.97,166.2,166.2,53.3,0,58,0,0,0,0.1,2.5,1,6,0,2
73,     QLD,4217,16,10,5.7,        Suburban,NA,25.21,14.84,9.13,168,168,168,0,0,0,0,0,0.1,0.1,1,3,0,1
74,     QLD,4110,16,10,5.4,        Suburban,NA,31.01,13.68,8.69,190,152,190,0,0,0,0,0,0.1,0.1,1,4,0,1
