Nvalid,StateName,NPostCode,NYear,NClimateZone,StarRating,Exposure,X,CertificateHeating,CertificateSCool,CertificateLCool,TotalFlArea,TotFloorArea,SlabOnGroundArea,FloorsAboveGround,SubfloorFloorArea,FloorsAboveNeighbours_100,CeilingsBelowNeighbours,TotalSharedSurfaceArea,FloorHeightmin,FloorHeightmax,NumberofLiving,NumberofBedrooms,MStorey,NStorey
1,     QLD,4816,18,5,6.8,            Open,NA,0.41,73.63,31.21,255.5,215.1,255.5,0,0,0,0,0,0.4,0.4,2,4,0,1
2,     QLD,4818,16,5,7.6,        Suburban,NA,1.74,67.12,32.31,141.1,109,107.2,0,0,0,0,45,0.1,2.84,1,2,1,2
3,     QLD,4818,16,5,7.6,        Suburban,NA,1.21,67.81,32.82,141.1,109,107.2,0,0,0,0,45,0.1,2.84,1,2,1,2
4,     QLD,4818,16,5,6.6,        Suburban,NA,1.51,87.93,35.74,141.1,109,107.2,0,0,0,0,45,0.1,2.84,1,2,1,2
5,     QLD,4818,16,5,6.5,        Suburban,NA,1.05,91.75,36,141.1,109,107.2,0,0,0,0,45,0.1,2.84,1,2,1,2
6,     QLD,4701,17,7,5.1,        Suburban,NA,9.47,76.58,25.86,177.7,177.7,177.7,0,0,0,0,0,0.1,0.1,1,6,0,1
7,     QLD,4701,15,7,6.1,        Suburban,NA,2.72,66.91,18.43,211,211,211,0,0,0,0,0,0.1,0.1,1,3,0,1
8,     QLD,4703,15,7,6,            Open,NA,24.15,77.7,17.63,64.5,64.5,0,0,0,0,0,0,0.1,0.1,1,1,0,1
9,     QLD,4701,17,7,6.9,        Suburban,NA,8.82,59.28,17.05,128,103,128,0,0,0,0,0,0.1,0.1,1,3,0,1
10,     QLD,4710,17,7,7.2,            Open,NA,5.33,49.41,16.25,153.1,153.1,151.1,0,0,0,0,0,1.2,1.2,1,4,0,1
11,     QLD,4701,17,7,7.6,        Suburban,NA,0.91,51.87,17.35,151.7,116.2,151.7,0,0,0,0,0,0.1,0.1,1,3,0,1
12,     QLD,4703,16,7,6,        Suburban,NA,5.03,79.74,16.8,119,119,119,0,0,0,0,0,0.1,0.1,1,3,0,1
13,     QLD,4701,18,7,7.6,        Suburban,NA,0.91,51.87,17.35,151.7,116.2,151.7,0,0,0,0,0,0.1,0.1,1,3,0,1
14,     QLD,4701,18,7,7.7,        Suburban,NA,2.18,48.23,16.52,151.7,116.2,151.7,0,0,0,0,0,0.1,0.1,1,3,0,1
15,     QLD,4703,18,7,7.2,        Suburban,NA,2.26,49.58,16.62,227.5,182.5,227.5,0,0,0,0,0,0.1,0.1,2,4,0,1
16,     QLD,4703,18,7,6.9,        Suburban,NA,3.28,58.29,15.47,193.15,155.15,193.15,0,0,0,0,0,0.2,0.2,2,4,0,1
17,     QLD,4703,18,7,6.8,        Suburban,NA,2.83,58.5,15.87,197.9,162.5,197.9,0,0,0,0,0,0.1,0.1,2,4,0,1
18,     QLD,4703,17,7,5.9,            Open,NA,14.63,66.43,15.71,197.51,154.2,62.2,0,0,0,0,0,0.1,2.8,1,5,1,2
19,     QLD,4343,17,9,6.9,        Suburban,NA,18.88,21.66,10.18,286.85,249.75,286.85,0,0,0,0,0,0.1,0.1,1,3,0,1
20,     QLD,4343,17,9,7.1,        Suburban,NA,21.95,29.69,13.23,91.7,74.2,91.7,0,0,0,0,19,0.1,0.1,1,2,0,1
