Nvalid,StateName,NPostCode,NYear,NClimateZone,StarRating,Exposure,X,CertificateHeating,CertificateSCool,CertificateLCool,TotalFlArea,TotFloorArea,SlabOnGroundArea,FloorsAboveGround,SubfloorFloorArea,FloorsAboveNeighbours_100,CeilingsBelowNeighbours,TotalSharedSurfaceArea,FloorHeightmin,FloorHeightmax,NumberofLiving,NumberofBedrooms,MStorey,NStorey
1,     ACT,2606,17,24,7.9,        Suburban,NA,83.05,7.51,1.48,108,108,108,0,0,0,0,39,0.1,0.1,2,2,0,1
2,     ACT,2606,17,24,8,        Suburban,NA,77.75,6.13,1.22,124,124,124,0,0,0,0,37,0.1,1.18,1,3,0,1
3,     ACT,2600,17,24,5.9,        Suburban,NA,126.35,22.09,1.87,367.2,315.2,249.5,0,0,0,0,0,-2.3,4.05,3,4,1,3
4,     ACT,2614,17,24,6.3,        Suburban,NA,126.88,23.65,2.06,193.8,196.8,110.8,0,0,0,0,134,0.1,2.8,2,4,1,2
5,     ACT,2614,17,24,6.3,        Suburban,NA,132.02,17.33,2.08,193.8,196.8,110.8,0,0,0,0,134,0.1,2.8,2,4,1,2
6,     ACT,2617,17,24,6.3,        Suburban,NA,119.23,46.42,3.25,119.2,83.6,46.1,0,0,0,0,203,0.1,5.5,2,2,1,3
7,     ACT,2617,17,24,6.3,        Suburban,NA,119.23,46.42,3.25,119.2,83.6,46.1,0,0,0,0,203,0.1,5.5,2,2,1,3
8,     ACT,2617,17,24,6.3,        Suburban,NA,119.23,46.42,3.25,119.2,83.6,46.1,0,0,0,0,203,0.1,5.5,2,2,1,3
9,     ACT,2617,17,24,5.9,        Suburban,NA,139.01,42.66,3.23,119.2,83.8,45.9,0,0,0,0,188,0.1,5.86,2,2,2,3
10,     ACT,2617,17,24,5.9,        Suburban,NA,139.01,42.66,3.23,119.2,83.8,45.9,0,0,0,0,188,0.1,5.86,2,2,2,3
11,     ACT,2617,17,24,5.9,        Suburban,NA,139.01,42.66,3.23,119.2,83.8,45.9,0,0,0,0,188,0.1,5.86,2,2,2,3
12,     ACT,2617,17,24,5.9,        Suburban,NA,139.01,42.66,3.23,119.2,83.8,45.9,0,0,0,0,188,0.1,5.86,2,2,2,3
13,     ACT,2617,17,24,5.9,        Suburban,NA,139.01,42.66,3.23,119.2,83.8,45.9,0,0,0,0,188,0.1,5.86,2,2,2,3
14,     ACT,2617,17,24,5.9,        Suburban,NA,139.01,42.66,3.23,119.2,83.8,45.9,0,0,0,0,188,0.1,5.86,2,2,2,3
15,     ACT,2606,17,24,5.7,        Suburban,NA,161,27.94,2,197.9,165.8,143.5,0,0,0,0,0,0.1,2.65,2,4,0,2
16,     ACT,2606,17,24,5.7,        Suburban,NA,159.76,30.16,2.1,188.6,157.4,139.5,0,0,0,0,0,0.1,2.65,2,4,0,2
17,     ACT,2614,17,24,6.2,        Suburban,NA,136.13,14.39,1.89,240.2,207.8,151.6,0,0,0,0,75,0.1,2.8,2,5,1,2
18,     ACT,2614,17,24,5.9,        Suburban,NA,140.77,24.29,2.17,240.2,207.8,151.6,0,0,0,0,75,0.1,2.8,2,5,1,2
19,     ACT,2602,17,24,5.4,        Suburban,NA,144.52,16.86,1.7,433.9,345.7,357,0,0,0,0,0,0.1,2.8,2,4,1,2
20,     ACT,2617,17,24,6.9,        Suburban,NA,107.58,7.19,1.35,292.1,255.5,292.1,0,0,0,0,0,0.1,0.1,2,6,0,1
21,     ACT,2605,18,24,5.8,        Suburban,NA,143.36,19.7,2.02,273.9,233.6,273.9,0,0,0,0,0,0.1,0.1,2,4,0,1
22,     ACT,2615,17,24,6.2,        Suburban,NA,147.91,38.13,3.38,109,109,0,11000,110,0,0,0,0.6,0.6,2,3,0,1
23,     ACT,2605,17,24,5.9,        Suburban,NA,173.45,19.6,2.4,118.6,118.6,67.5,0,51,0,0,18,0.6,0.6,3,3,0,1
24,     ACT,2602,15,24,5.9,        Suburban,NA,162.28,37.97,2.64,121.3,86.6,70.7,0,0,0,0,48,0,2.65,2,3,0,2
