Nvalid,StateName,NPostCode,NYear,NClimateZone,StarRating,Exposure,X,CertificateHeating,CertificateSCool,CertificateLCool,TotalFlArea,TotFloorArea,SlabOnGroundArea,FloorsAboveGround,SubfloorFloorArea,FloorsAboveNeighbours_100,CeilingsBelowNeighbours,TotalSharedSurfaceArea,FloorHeightmin,FloorHeightmax,NumberofLiving,NumberofBedrooms,MStorey,NStorey
1,     ACT,2606,17,24,8,        Suburban,NA,71.17,14.53,1.72,108,108,108,0,0,0,0,39,0.1,0.1,2,2,0,1
2,     ACT,2606,17,24,8,        Suburban,NA,72.6,12.65,1.61,124,124,124,0,0,0,0,37,0.1,1.18,1,3,0,1
3,     ACT,2600,17,24,5.9,        Suburban,NA,112.73,31.99,2.15,367.2,315.2,249.5,0,0,0,0,0,-2.3,4.05,3,4,1,3
4,     ACT,2614,17,24,6.4,        Suburban,NA,121.86,21.94,2.06,193.8,196.8,110.8,0,0,0,0,134,0.1,2.8,2,4,1,2
5,     ACT,2614,17,24,6.4,        Suburban,NA,127.85,16.59,2.14,193.8,196.8,110.8,0,0,0,0,134,0.1,2.8,2,4,1,2
6,     ACT,2617,17,24,6,        Suburban,NA,132.3,44.95,3.3,119.2,83.6,46.1,0,0,0,0,203,0.1,5.5,2,2,1,3
7,     ACT,2617,17,24,6,        Suburban,NA,132.3,44.95,3.3,119.2,83.6,46.1,0,0,0,0,203,0.1,5.5,2,2,1,3
8,     ACT,2617,17,24,6,        Suburban,NA,132.3,44.95,3.3,119.2,83.6,46.1,0,0,0,0,203,0.1,5.5,2,2,1,3
9,     ACT,2617,17,24,6,        Suburban,NA,140,40.33,3.19,119.2,83.8,45.9,0,0,0,0,188,0.1,5.86,2,2,2,3
10,     ACT,2617,17,24,6,        Suburban,NA,140,40.33,3.19,119.2,83.8,45.9,0,0,0,0,188,0.1,5.86,2,2,2,3
11,     ACT,2617,17,24,6,        Suburban,NA,140,40.33,3.19,119.2,83.8,45.9,0,0,0,0,188,0.1,5.86,2,2,2,3
12,     ACT,2617,17,24,6,        Suburban,NA,140,40.33,3.19,119.2,83.8,45.9,0,0,0,0,188,0.1,5.86,2,2,2,3
13,     ACT,2617,17,24,6,        Suburban,NA,140,40.33,3.19,119.2,83.8,45.9,0,0,0,0,188,0.1,5.86,2,2,2,3
14,     ACT,2617,17,24,6,        Suburban,NA,140,40.33,3.19,119.2,83.8,45.9,0,0,0,0,188,0.1,5.86,2,2,2,3
15,     ACT,2606,17,24,6,        Suburban,NA,140.68,29.26,2.05,197.9,165.8,143.5,0,0,0,0,0,0.1,2.65,2,4,0,2
16,     ACT,2606,17,24,6.1,        Suburban,NA,141.17,30.34,2,188.6,157.4,139.5,0,0,0,0,0,0.1,2.65,2,4,0,2
17,     ACT,2614,17,24,6.4,        Suburban,NA,131.92,13.56,1.79,240.2,207.8,151.6,0,0,0,0,75,0.1,2.8,2,5,1,2
18,     ACT,2614,17,24,6.1,        Suburban,NA,136.18,22.2,2.08,240.2,207.8,151.6,0,0,0,0,75,0.1,2.8,2,5,1,2
19,     ACT,2602,17,24,6,        Suburban,NA,114.68,24.8,2.01,433.9,345.7,357,0,0,0,0,0,0.1,2.8,2,4,1,2
20,     ACT,2617,17,24,7.3,        Suburban,NA,88.04,9.14,1.42,292.1,255.5,292.1,0,0,0,0,0,0.1,0.1,2,6,0,1
21,     ACT,2605,18,24,6,        Suburban,NA,136.61,17.81,1.86,273.9,233.6,273.9,0,0,0,0,0,0.1,0.1,2,4,0,1
22,     ACT,2615,17,24,6.3,        Suburban,NA,144.2,35.11,3.23,109,109,0,11000,110,0,0,0,0.6,0.6,2,3,0,1
23,     ACT,2605,17,24,6,        Suburban,NA,163.32,24.11,2.56,118.6,118.6,67.5,0,51,0,0,18,0.6,0.6,3,3,0,1
24,     ACT,2602,15,24,6,        Suburban,NA,156.94,39.72,2.64,121.3,86.6,70.7,0,0,0,0,48,0,2.65,2,3,0,2
25,     ACT,2602,15,24,6.6,        Suburban,NA,120.87,34.67,2.44,131.6,100,67.2,0,0,0,0,106,0,2.65,2,3,0,2
26,     ACT,2602,15,24,6.6,        Suburban,NA,118.24,34.49,2.53,131.6,100,67.2,0,0,0,0,106,0,2.65,2,3,0,2
27,     ACT,2602,15,24,6.5,        Suburban,NA,125.19,32.27,2.38,131.6,100,67.2,0,0,0,0,106,0,2.65,2,3,0,2
28,     ACT,2602,15,24,6.1,        Suburban,NA,154.32,26.16,2.2,137.6,110.3,67.5,0,0,0,0,63,0,2.65,2,3,0,2
29,     ACT,2602,15,24,6.1,        Suburban,NA,156.32,26.32,2.05,137.6,110.3,67.5,0,0,0,0,63,0,2.65,2,3,0,2
30,     ACT,2607,18,24,6.3,        Suburban,NA,110.15,34.93,3.43,246.8,259.8,153.8,0,0,0,0,30,0.1,3.1,3,4,1,2
31,     ACT,2607,18,24,6.4,        Suburban,NA,100.49,36.12,3.66,246.8,259.8,153.8,0,0,0,0,30,0.1,3.1,3,4,1,2
32,     ACT,2605,17,24,6.1,        Suburban,NA,140.65,26.59,1.93,196,163.5,141.7,0,0,0,0,0,0.1,2.65,2,4,0,2
33,     ACT,2605,17,24,6,        Suburban,NA,141.8,32.62,2.38,188.4,157.2,139.7,0,0,0,0,0,0.1,2.65,2,4,0,2
34,     ACT,2603,17,24,6.3,        Suburban,NA,123.89,12.51,1.83,302.6,258.6,302.6,0,0,0,0,0,0.1,0.1,2,5,0,1
35,     ACT,2606,17,24,6.1,        Suburban,NA,134.91,26.99,2.47,229,187.3,229,0,0,0,0,0,0.1,0.1,2,4,0,1
36,     ACT,2607,17,24,6,        Suburban,NA,153.19,12.41,1.9,223.3,180.3,223.3,0,0,0,0,0,0.1,0.1,2,4,0,1
37,     ACT,2607,17,24,6.2,        Suburban,NA,147.64,12.54,1.86,223.3,180.3,223.3,0,0,0,0,0,0.1,0.1,2,4,0,1
38,     ACT,2611,17,24,6.2,        Suburban,NA,105.62,43.11,2.99,252.7,218,177.1,0,0,0,0,0,0.1,2.8,3,4,1,2
39,     ACT,2904,17,24,6,        Suburban,NA,172.06,23.45,2.08,92.8,92.8,92.8,0,0,0,0,40,0.45,0.45,2,2,0,1
40,     ACT,2612,18,24,6.4,        Suburban,NA,158.42,29.95,2.5,75.1,75.1,0,7500,75,0,0,13,0.45,0.45,1,1,0,1
41,     ACT,2614,16,24,6,        Suburban,NA,136.81,22.43,2.44,210.1,214.1,0,14000,140,0,0,18,0.5,2.9,2,5,1,2
42,     ACT,2615,16,24,6.3,        Suburban,NA,143.93,22.74,1.96,132.6,132.6,132.6,0,0,0,0,57,0.01,0.1,2,2,0,1
43,     ACT,2602,18,24,6.5,        Suburban,NA,115.89,18.25,1.96,221.4,225,131.9,0,0,0,0,0,0.1,2.8,2,6,1,2
44,     ACT,2602,18,24,6.2,        Suburban,NA,143.51,14.29,1.62,219.2,179.5,219.2,0,0,0,4,4,0.1,0.1,2,4,0,1
45,     ACT,2914,18,24,6.4,        Suburban,NA,113.38,20.3,1.76,317.5,265.6,225.1,0,0,0,0,0,0.1,2.8,2,5,1,2
46,     ACT,2603,18,24,6.3,        Suburban,NA,120.22,10.28,1.42,359.9,312.3,359.9,0,0,0,0,0,0.1,0.73,1,4,0,1
47,     ACT,2602,18,24,6.1,        Suburban,NA,121.74,36.65,2.49,246.5,203.1,239.7,0,0,0,0,0,0.1,0.1,1,4,0,1
48,     ACT,2602,18,24,6.9,        Suburban,NA,120.08,25.16,2.42,112.5,95.7,61.7,0,0,0,0,56,0.1,2.8,2,3,1,2
49,     ACT,2602,18,24,6.8,        Suburban,NA,129.05,25.03,2.26,112.5,95.7,61.7,0,0,0,0,56,0.1,2.8,2,3,1,2
50,     ACT,2602,18,24,6.2,        Suburban,NA,134.69,53.95,2.72,112.1,97.4,59,0,0,0,0,31,0.1,2.8,1,3,1,2
51,     ACT,2602,18,24,6.4,        Suburban,NA,122.12,48.67,2.64,112.1,97.4,59,0,0,0,0,80,0.1,2.8,1,3,1,2
52,     ACT,2602,18,24,6.4,        Suburban,NA,124.12,48.65,2.62,112.1,97.4,59,0,0,0,0,80,0.1,2.8,1,3,1,2
53,     ACT,2602,18,24,6,        Suburban,NA,150.09,50.78,2.69,112.1,97.4,59,0,0,0,0,31,0.1,2.8,1,3,1,2
54,     ACT,2602,18,24,6.9,        Suburban,NA,120.08,25.16,2.42,112.5,95.7,61.7,0,0,0,0,56,0.1,2.8,2,3,1,2
55,     ACT,2602,18,24,6.8,        Suburban,NA,129.05,25.03,2.26,112.5,95.7,61.7,0,0,0,0,56,0.1,2.8,2,3,1,2
56,     ACT,2607,18,24,7,        Suburban,NA,124.63,12.41,2.06,101,101,0,10100,101,0,0,69,0.4,0.4,2,1,0,1
57,     ACT,2602,18,24,6.4,        Suburban,NA,118.12,18.23,2,278.2,227,197.4,0,0,0,0,0,0.1,2.8,2,4,1,2
58,     ACT,2914,16,24,6.1,        Suburban,NA,143.26,26.28,2.18,197,158.9,197,0,0,0,0,0,0,0.15,2,4,0,1
59,     ACT,2914,16,24,6,        Suburban,NA,154.31,15.13,1.82,201.5,165.8,201.5,0,0,0,0,0,0,0.15,2,4,0,1
60,     ACT,2914,16,24,6.1,        Suburban,NA,152.4,14.76,1.83,201.5,165.8,201.5,0,0,0,0,0,0,0.15,2,4,0,1
61,     ACT,2602,18,24,6.7,        Suburban,NA,112.31,17.53,2.03,272,239,229.6,0,0,0,0,0,0.1,2.8,2,3,1,2
62,     ACT,2607,18,24,6.1,        Suburban,NA,153.65,36.25,2.43,134.5,100.2,105.3,0,0,0,0,68,0.1,2.65,2,3,0,2
63,     ACT,2607,18,24,6.1,        Suburban,NA,151.82,34.86,2.25,146.4,112.1,105.3,0,0,0,0,68,0.1,2.65,2,4,0,2
64,     ACT,2607,18,24,6.2,        Suburban,NA,152.5,29.16,2.12,163.1,127.8,117.6,0,0,0,0,0,0.1,3.4,2,4,1,2
65,     ACT,2617,16,24,6.2,        Suburban,NA,134.1,28.57,2.26,197.01,160.47,197.01,0,0,0,83.46,101,0,0.15,2,4,0,1
66,     ACT,2617,16,24,6.1,        Suburban,NA,121.76,46.32,2.6,182.8,143,182.8,0,0,0,152.4,191,0,0.15,2,3,0,1
67,     ACT,2617,16,24,6.6,        Suburban,NA,108.89,32.47,3.25,158.5,158.5,0,0,0,158.5,0,157,3.3,3.3,2,5,1,1
68,     ACT,2611,18,24,6.4,        Suburban,NA,103.9,45.98,3.23,181,181,0,18100,181,0,0,0,0.6,0.6,2,4,0,1
69,     ACT,2611,18,24,6.8,        Suburban,NA,110.81,21.43,2.17,223.3,185.5,191.1,0,0,32.2,0,32,0.1,0.1,3,4,0,1
70,     ACT,2914,18,24,6.2,        Suburban,NA,121.79,27.19,2.23,279,247.5,209.5,0,0,0,0,0,0.1,2.8,2,5,1,2
71,     ACT,2611,18,24,6.2,        Suburban,NA,144.76,14.04,2.18,227.5,191.5,222.2,0,0,0,0,0,0.1,0.1,2,4,0,1
72,     ACT,2611,18,24,5.7,        Suburban,NA,148.08,35.76,2.91,246.8,208.4,177.2,0,0,0,0,0,0.1,3.2,2,4,1,2
73,     ACT,2615,18,24,6.8,        Suburban,NA,129.56,27.01,2.49,141,108,141,0,0,0,0,0,0.1,0.1,1,3,0,1
74,     ACT,2605,18,24,6.5,        Suburban,NA,112.72,22.8,2.55,279.1,232.6,197.2,0,0,0,5.5,6,0.1,2.8,2,4,1,2
75,     ACT,2914,18,24,6.4,        Suburban,NA,104.37,34.43,2.41,284.4,248.4,209.8,0,0,0,0,0,0.1,2.65,3,6,0,2
76,     ACT,2614,18,24,6,        Suburban,NA,184.2,8.46,1.71,104.9,104.9,47,0,59,0,0,22,1.1,1.1,1,1,0,1
77,     ACT,2606,18,24,5.7,        Suburban,NA,160.4,48.81,4.22,152.6,146,113.1,0,0,0,0,0,0.1,2.65,2,3,0,2
78,     ACT,2606,18,24,5.8,        Suburban,NA,144.17,49.21,3.09,175.27,167.37,131.5,0,0,0,0,89,0.1,2.65,3,4,0,2
79,     ACT,2606,18,24,5.9,        Suburban,NA,135.03,47.72,4.18,172.71,163.71,103,0,0,0,0,88,0.1,2.65,3,4,0,2
80,     ACT,2611,18,24,6.4,        Suburban,NA,114.22,24.78,2.12,281.8,249,176.4,0,0,0,0,0,0.1,2.8,2,4,1,2
81,     ACT,2615,18,24,7.4,        Suburban,NA,104.04,4.22,1.25,203.8,168.8,197.2,0,0,0,0,0,0.1,0.1,3,3,0,1
82,     ACT,2605,18,24,6.9,        Suburban,NA,119.87,34.99,3.01,86.7,86.7,0,8600,86,0,0,0,1.2,1.2,1,3,0,1
