State,StarDiff,DwellingNo
ACT,-0.3,13
ACT,-0.2,44
ACT,-0.1,32
ACT,0,41
ACT,0.1,73
ACT,0.2,72
ACT,0.3,24
ACT,0.4,9
ACT,0.5,3
ACT,0.6,1
NT,-0.4,4
NT,-0.3,5
NT,-0.2,23
NT,-0.1,127
NT,0,197
NT,0.1,14
NT,0.2,2
NT,0.3,1
QLD,-0.5,2
QLD,-0.4,5
QLD,-0.3,60
QLD,-0.2,88
QLD,-0.1,123
QLD,0,118
QLD,0.1,54
QLD,0.2,33
QLD,0.3,11
QLD,0.5,1
SA,-0.4,2
SA,-0.3,16
SA,-0.2,80
SA,-0.1,117
SA,0,87
SA,0.1,109
SA,0.2,29
SA,0.3,15
SA,0.4,14
SA,0.5,2
TAS,-0.2,3
TAS,-0.1,6
TAS,0,16
TAS,0.1,41
TAS,0.2,17
TAS,0.3,12
TAS,0.4,4
TAS,0.5,7
TAS,0.6,1
TAS,0.7,1
VIC,-0.7,1
VIC,-0.5,10
VIC,-0.4,16
VIC,-0.3,37
VIC,-0.2,205
VIC,-0.1,1042
VIC,-0.09,1
VIC,-0.08,2
VIC,-0.06,1
VIC,-0.04,1
VIC,-0.02,1
VIC,0,1056
VIC,0.01,3
VIC,0.03,2
VIC,0.04,3
VIC,0.05,1
VIC,0.06,7
VIC,0.07,4
VIC,0.08,5
VIC,0.09,8
VIC,0.1,523
VIC,0.11,10
VIC,0.12,12
VIC,0.13,17
VIC,0.14,10
VIC,0.15,2
VIC,0.16,4
VIC,0.17,4
VIC,0.18,1
VIC,0.19,4
VIC,0.2,257
VIC,0.21,6
VIC,0.22,6
VIC,0.23,5
VIC,0.24,2
VIC,0.25,12
VIC,0.26,6
VIC,0.27,14
VIC,0.28,11
VIC,0.29,12
VIC,0.3,165
VIC,0.31,9
VIC,0.32,11
VIC,0.33,5
VIC,0.34,8
VIC,0.35,9
VIC,0.36,6
VIC,0.37,5
VIC,0.38,6
VIC,0.39,7
VIC,0.4,69
VIC,0.41,4
VIC,0.42,9
VIC,0.43,8
VIC,0.44,3
VIC,0.45,4
VIC,0.46,1
VIC,0.47,6
VIC,0.48,1
VIC,0.5,24
VIC,0.51,2
VIC,0.53,1
VIC,0.59,1
VIC,0.6,10
VIC,0.62,1
VIC,0.7,8
VIC,0.8,2
VIC,0.9,12
VIC,1,9
VIC,1.1,4
VIC,1.2,1
VIC,1.3,1
WA,-0.5,4
WA,-0.4,7
WA,-0.3,23
WA,-0.2,107
WA,-0.1,75
WA,0,67
WA,0.1,78
WA,0.2,72
WA,0.3,39
WA,0.4,10
WA,0.5,2
WA,0.6,4
WA,0.7,3
WA,0.8,1
WA,0.9,1
WA,1,1
