Nvalid,StateName,NPostCode,NYear,NClimateZone,StarRating,Exposure,X,CertificateHeating,CertificateSCool,CertificateLCool,TotalFlArea,TotFloorArea,SlabOnGroundArea,FloorsAboveGround,SubfloorFloorArea,FloorsAboveNeighbours_100,CeilingsBelowNeighbours,TotalSharedSurfaceArea,FloorHeightmin,FloorHeightmax,NumberofLiving,NumberofBedrooms,MStorey,NStorey
1,      SA,5360,17,16,8,        Suburban,NA,39.58,6.32,0.95,201.31,201.31,201.31,0,0,0,0,0,0.15,1.25,3,3,0,1
2,      SA,5351,18,16,7.1,            Open,NA,45.79,17.99,1.62,235.27,235.27,98.39,0,125.57,0,0,0,0.15,0.15,2,4,0,1
3,      SA,5173,16,16,7.8,        Suburban,NA,50.15,14.78,1.58,87.39,87.39,87.39,0,0,0,0,0,0.15,0.15,1,2,0,1
4,      SA,5452,17,16,6.4,            Open,NA,71.07,7.69,1.29,257.03,257.03,257.03,0,0,0,0,0,0.1,0.1,3,4,0,1
5,      SA,5019,17,16,6.4,        Suburban,NA,52.7,30.81,2.22,242.21,213.2,130,0,0,0,0,149,0.1,2.8,1,4,1,2
6,      SA,5019,17,16,6.6,        Suburban,NA,49.1,29.67,2.25,242.21,213.2,130,0,0,0,0,149,0.1,2.8,1,4,1,2
7,      SA,5011,17,16,6.4,        Suburban,NA,77.63,21.25,1.92,145.1,122.2,145.1,0,0,0,0,0,0.15,0.2,1,3,0,1
8,      SA,5085,17,16,5.9,        Suburban,NA,56.82,55.08,2.54,121.81,124.8,71.6,0,0,0,0,0,0.2,2.9,1,4,1,2
9,      SA,5085,17,16,5.9,        Suburban,NA,67.92,46.64,2.2,111.41,114.4,53.5,0,0,0,0,0,0.2,2.9,1,3,1,2
10,      SA,5075,17,16,6.9,        Suburban,NA,54.51,20.62,1.84,161.1,144.3,91.2,0,0,0,0,230,0.2,2.9,1,3,1,2
11,      SA,5073,17,16,6.1,        Suburban,NA,72.3,38.5,2.44,127.13,100.7,68.6,0,0,0,0,74,0.1,2.8,1,3,1,2
12,      SA,5073,17,16,6.2,        Suburban,NA,56.71,43.68,2.46,137.9,127,73.6,0,0,0,0,75,0.1,2.8,2,3,1,2
13,      SA,5073,17,16,6.2,        Suburban,NA,58.64,42.94,2.44,137.91,127,73.6,0,0,0,0,75,0.1,2.8,2,3,1,2
14,      SA,5073,17,16,5.9,        Suburban,NA,76.08,36.22,2.19,122.5,126.9,48.2,0,0,0,0,0,0.1,2.8,1,4,1,2
15,      SA,5075,17,16,6,        Suburban,NA,44.94,60.12,2.82,143.52,125.5,82.4,0,0,0,0,53,0.1,2.8,1,3,1,2
16,      SA,5075,17,16,6.2,        Suburban,NA,43.28,55.38,2.75,143.9,124.5,73.7,0,0,0,0,109,0.1,2.8,2,3,1,2
