Nvalid,StateName,NPostCode,NYear,NClimateZone,StarRating,Exposure,X,CertificateHeating,CertificateSCool,CertificateLCool,TotalFlArea,TotFloorArea,SlabOnGroundArea,FloorsAboveGround,SubfloorFloorArea,FloorsAboveNeighbours_100,CeilingsBelowNeighbours,TotalSharedSurfaceArea,FloorHeightmin,FloorHeightmax,NumberofLiving,NumberofBedrooms,MStorey,NStorey
1,      SA,5360,17,16,8.1,        Suburban,NA,34.02,9.07,1.13,201.31,201.31,201.31,0,0,0,0,0,0.15,1.25,3,3,0,1
2,      SA,5351,18,16,7.1,            Open,NA,43.64,19.88,1.71,235.27,235.27,98.39,0,125.57,0,0,0,0.15,0.15,2,4,0,1
3,      SA,5173,16,16,7.8,        Suburban,NA,49.19,14.05,1.59,87.39,87.39,87.39,0,0,0,0,0,0.15,0.15,1,2,0,1
4,      SA,5452,17,16,6.4,            Open,NA,70.56,7.85,1.22,257.03,257.03,257.03,0,0,0,0,0,0.1,0.1,3,4,0,1
5,      SA,5019,17,16,6.3,        Suburban,NA,56.41,29.68,2.17,242.21,213.2,130,0,0,0,0,149,0.1,2.8,1,4,1,2
6,      SA,5019,17,16,6.4,        Suburban,NA,53.31,29.43,2.25,242.21,213.2,130,0,0,0,0,149,0.1,2.8,1,4,1,2
7,      SA,5011,17,16,6.2,        Suburban,NA,84.11,21.25,1.97,145.1,122.2,145.1,0,0,0,0,0,0.15,0.2,1,3,0,1
8,      SA,5085,17,16,6,        Suburban,NA,55.13,52.56,2.53,121.81,124.8,71.6,0,0,0,0,0,0.2,2.9,1,4,1,2
9,      SA,5085,17,16,6,        Suburban,NA,64.29,46.75,2.2,111.41,114.4,53.5,0,0,0,0,0,0.2,2.9,1,3,1,2
10,      SA,5075,17,16,6.8,        Suburban,NA,59.05,20.33,1.85,161.1,144.3,91.2,0,0,0,0,230,0.2,2.9,1,3,1,2
11,      SA,5073,17,16,6,        Suburban,NA,65.61,45.11,2.6,127.13,100.7,68.6,0,0,0,0,74,0.1,2.8,1,3,1,2
12,      SA,5073,17,16,6,        Suburban,NA,61.55,43.67,2.49,137.9,127,73.6,0,0,0,0,75,0.1,2.8,2,3,1,2
13,      SA,5073,17,16,6,        Suburban,NA,63.22,42.58,2.42,137.91,127,73.6,0,0,0,0,75,0.1,2.8,2,3,1,2
14,      SA,5073,17,16,6,        Suburban,NA,72.97,36.14,2.2,122.5,126.9,48.2,0,0,0,0,0,0.1,2.8,1,4,1,2
15,      SA,5075,17,16,6,        Suburban,NA,48.82,57.66,2.73,143.52,125.5,82.4,0,0,0,0,53,0.1,2.8,1,3,1,2
16,      SA,5075,17,16,6.1,        Suburban,NA,48.02,52.99,2.75,143.9,124.5,73.7,0,0,0,0,109,0.1,2.8,2,3,1,2
17,      SA,5075,17,16,6,        Suburban,NA,55.35,49.44,2.79,143,125.6,79.9,0,0,0,0,57,0.1,2.8,2,3,1,2
19,      SA,5083,15,16,6,        Suburban,NA,58.9,52.04,2.2,101.2,104.7,53.1,0,0,0,0,54,0.1,2.8,1,3,1,2
20,      SA,5083,15,16,6,        Suburban,NA,51.58,59.06,2.35,101.2,104.7,53.1,0,0,0,0,54,0.1,2.8,1,3,1,2
21,      SA,5083,15,16,6,        Suburban,NA,66.48,40.48,2.44,133.4,115.1,66.8,0,0,0,0,73,0.1,2.8,1,3,1,2
26,      SA,5085,15,16,5.7,        Suburban,NA,41.62,75,3.46,70.8,70.8,70.8,0,0,0,54.71,131,0.1,0.1,1,2,0,1
30,      SA,5085,15,16,5,        Suburban,NA,68.75,74.83,3.67,76.2,76.2,0,0,0,62.2,0,94,7,7,1,2,2,1
31,      SA,5014,17,16,7,        Suburban,NA,35.75,50,3.11,95.2,81.6,48.9,0,0,0,0,27,0.1,2.5,1,2,0,2
32,      SA,5014,17,16,7,        Suburban,NA,39.1,42.97,3.1,93.7,80.1,48.9,0,0,0,0,56,0.1,2.5,1,2,0,2
33,      SA,5014,17,16,7,        Suburban,NA,39.07,48.28,3.3,86,72.4,48.9,0,0,0,0,29,0.1,2.5,1,2,0,2
34,      SA,5014,17,16,7,        Suburban,NA,38.29,49.2,3.26,86,72.4,48.9,0,0,0,0,29,0.1,2.5,2,2,0,2
35,      SA,5014,17,16,7,        Suburban,NA,40.29,41.84,3.08,93.7,80.1,48.9,0,0,0,0,56,0.1,2.5,1,2,0,2
36,      SA,5014,17,16,7,        Suburban,NA,34.48,51.55,3.16,95.2,81.6,48.9,0,0,0,0,27,0.1,2.5,2,2,0,2
37,      SA,5069,16,16,6.3,        Suburban,NA,35.66,61.57,2.94,99.1,99.1,0,0,0,99.1,0,129,5.7,5.7,1,2,2,1
38,      SA,5069,16,16,7.7,        Suburban,NA,19.43,34.88,2.27,99.1,99.1,0,0,0,99.1,99.1,228,3.1,3.1,1,2,1,1
39,      SA,5074,18,16,6.1,        Suburban,NA,63.35,38.69,2.62,149.31,134,84.1,0,0,0,0,99,0.1,2.8,2,3,1,2
43,      SA,5074,18,16,6,        Suburban,NA,62.71,42.32,2.61,170.81,142.8,99.1,0,0,0,0,14,0.1,2.8,2,3,1,2
44,      SA,5073,16,16,6,        Suburban,NA,60.54,50.19,2.49,126.6,111.9,64.4,0,0,0,0,39,0.2,2.9,1,3,1,2
45,      SA,5073,16,16,6.6,        Suburban,NA,54.89,34.45,2.51,127.2,112.3,64.8,0,0,0,0,97,0.2,2.9,1,3,1,2
46,      SA,5073,16,16,6.6,        Suburban,NA,55.85,33.97,2.44,127.2,112.3,64.8,0,0,0,0,97,0.2,2.9,1,3,1,2
47,      SA,5073,16,16,6.3,        Suburban,NA,57.68,41.47,2.58,127.2,112.3,64.8,0,0,0,0,86,0.2,2.9,1,3,1,2
48,      SA,5073,16,16,6.1,        Suburban,NA,58.05,52.1,2.44,126.6,111.9,64.4,0,0,0,0,39,0.2,2.9,1,3,1,2
49,      SA,5023,18,16,6.1,        Suburban,NA,66.47,35.06,2.01,191,158.6,112.5,0,0,0,0,9,0.1,2.8,2,3,1,2
50,      SA,5211,18,16,6,        Suburban,NA,57.41,31.93,1.68,283.1,244.3,157.5,0,0,0,0,0,0.1,4,1,4,1,2
51,      SA,5085,16,16,6.6,        Suburban,NA,49.19,37.11,2.08,110,113,54.6,0,0,0,0,129,0.1,2.8,1,3,1,2
52,      SA,5085,16,16,6.6,        Suburban,NA,37.71,45.11,2.49,137.2,141.2,71.8,0,0,0,0,142,0.1,2.8,2,4,1,2
53,      SA,5085,16,16,6.5,        Suburban,NA,51.32,37.88,2.13,110,113,54.6,0,0,0,0,129,0.1,2.8,1,3,1,2
54,      SA,5085,16,16,6.6,        Suburban,NA,37.71,45.11,2.49,137.2,141.2,71.8,0,0,0,0,142,0.1,2.8,2,4,1,2
55,      SA,5085,16,16,6.8,        Suburban,NA,46.55,35.55,2.03,110,113,54.6,0,0,0,0,129,0.1,2.8,1,3,1,2
