Nvalid,StateName,NPostCode,NYear,NClimateZone,StarRating,Exposure,X,CertificateHeating,CertificateSCool,CertificateLCool,TotalFlArea,TotFloorArea,SlabOnGroundArea,FloorsAboveGround,SubfloorFloorArea,FloorsAboveNeighbours_100,CeilingsBelowNeighbours,TotalSharedSurfaceArea,FloorHeightmin,FloorHeightmax,NumberofLiving,NumberofBedrooms,MStorey,NStorey
1,     TAS,7250,16,23,6,        Suburban,NA,145.75,15.8,0.75,286.06,205.96,97,0,52,0,0,0,0.1,2.7,1,4,0,2
2,     TAS,7140,18,25,6,            Open,NA,376.65,1.13,0.63,153.42,173.22,116.84,0,0,0,0,0,0.15,2.75,2,4,0,2
4,     TAS,7015,17,26,6.2,        Suburban,NA,163.05,4.99,0.22,182.65,142.99,122.69,0,0,0,0,0,0.15,2.75,1,3,0,2
5,     TAS,7172,16,26,7.3,        Suburban,NA,113.27,5.91,0.39,155.01,118.91,155.01,0,0,0,0,0,0.4,0.4,1,3,0,1
6,     TAS,7172,16,26,7.7,        Suburban,NA,96.41,5.36,0.31,131.87,97.1,131.87,0,0,0,0,0,0.4,0.4,1,2,0,1
7,     TAS,7172,16,26,7.7,        Suburban,NA,98.5,5.24,0.31,131.87,97.1,131.87,0,0,0,0,0,0.4,0.4,1,2,0,1
8,     TAS,7172,16,26,7.4,        Suburban,NA,109.23,5.87,0.38,155.01,118.91,155.01,0,0,0,0,0,0.4,0.4,1,3,0,1
9,     TAS,7005,16,26,6.9,        Suburban,NA,114.52,4.44,0.28,198.41,201.41,0,13130,131.3,0,0,0,0.3,3.05,2,5,1,2
10,     TAS,7005,16,26,6.9,        Suburban,NA,114.52,4.44,0.28,198.41,201.41,0,13130,131.3,0,0,0,0.3,3.05,2,5,1,2
11,     TAS,7005,17,26,6.2,        Suburban,NA,149.73,5,0.27,174.03,174.03,0,17700,177,0,0,0,0.6,0.6,1,3,0,1
12,     TAS,7020,15,26,6.1,        Suburban,NA,152.15,1.22,0.16,195.83,195.83,195.83,0,0,0,0,0,0.3,0.3,1,4,0,1
13,     TAS,7170,15,26,6.1,            Open,NA,140.78,3.65,0.23,279.29,239.76,238.72,0,0,0,0,0,0.05,2.5,2,5,0,2
14,     TAS,7021,18,26,6.2,        Suburban,NA,160.37,5.15,0.38,141.66,141.66,0,14100,141,0,0,0,0.3,0.3,3,4,0,1
15,     TAS,7010,16,26,6.1,        Suburban,NA,165.22,11.07,1.47,126.33,128.43,0,9110,91.1,0,0,0,2.3,4.7,2,3,1,2
16,     TAS,7155,18,26,7.4,            Open,NA,85.64,3.03,0.17,321.33,269.53,350.93,0,0,0,0,0,0.4,0.6,1,3,0,1
17,     TAS,7052,18,26,7.1,        Suburban,NA,111.73,6.76,0.36,188.51,154.51,37,0,53,0,0,0,1,3.5,2,3,1,2
18,     TAS,7021,16,26,6,        Suburban,NA,134.3,4.58,0.38,363.46,300.16,145.38,0,105,0,0,0,0.1,2.5,2,5,0,2
19,     TAS,7053,16,26,6,        Suburban,NA,147.42,9.2,0.41,216.11,216.11,77.76,0,45,0,0,0,0.3,2.7,2,5,0,2
20,     TAS,7018,17,26,7.1,        Suburban,NA,128.36,10.18,0.6,100.23,102.43,50.4,0,0,0,0,0,0.1,2.54,1,2,0,2
