Nvalid,StateName,NPostCode,NYear,NClimateZone,StarRating,Exposure,X,CertificateHeating,CertificateSCool,CertificateLCool,TotalFlArea,TotFloorArea,SlabOnGroundArea,FloorsAboveGround,SubfloorFloorArea,FloorsAboveNeighbours_100,CeilingsBelowNeighbours,TotalSharedSurfaceArea,FloorHeightmin,FloorHeightmax,NumberofLiving,NumberofBedrooms,MStorey,NStorey
1,     VIC,2487,18,10, 5.70,         Exposed,NA,21.37,27.39,    12.23,53.63,53.62,0,0,0,55.61,0,56,3.03,3.03,1,1,1,1
2,     VIC,2487,18,10, 6.60,         Exposed,NA,21.51,11.22,     6.94,219.04,165.12,179.05,0,0,5.2,55.05,58,0.1,3.03,2,3,1,2
3,     VIC,2479,18,10, 6.20,        Suburban,NA,19.22,29.7,    10.64,50.03,50.03,0,0,0,19.27,0,18,2.7,2.7,1,1,0,1
4,     VIC,2260,17,15, 4.40,        Suburban,NA,71.9,28.39,     6.94,222.05,186.41,0,14000,140,26.67,6.77,28,0.08,3.36,2,4,1,2
5,     VIC,2284,18,15, 5.90,        Suburban,NA,35.35,19.73,     7.40,304.08,270.58,152.26,0,26,15.42,2.84,15,-1.88,1.08,2,4,0,2
6,     VIC,2540,18,18, 6.00,        Suburban,NA,74.77,15.03,     4.94,123.03,105.75,123.03,0,0,0,0,34,-0.2,0,1,2,0,1
7,     VIC,2529,18,18, 6.90,        Suburban,NA,48.64,24.68,     6.28,103.53,71.75,103.53,0,0,4.56,0,58,0.1,0.1,1,2,0,1
8,     VIC,2529,18,18, 6.60,        Suburban,NA,47.5,25.64,     6.56,138,103.19,76.62,0,0,6.52,3.19,75,0.1,2.8,1,3,1,2
9,     VIC,2541,18,18, 5.20,        Suburban,NA,66.56,17.57,     4.62,441.24,319.4,121.84,0,0,14.69,7.38,42,0.25,3.92,2,4,1,2
10,     VIC,2539,17,18, 5.20,        Suburban,NA,76.4,12.83,     4.12,305.09,283.6,182.02,0,0,12.23,3.68,8,0.1,2.8,1,4,1,2
11,     VIC,2529,18,18, 5.90,        Suburban,NA,81.19,18.42,     5.15,88.33,70.79,88.32,0,0,4.12,0,58,0.1,0.1,1,2,0,1
12,     VIC,2529,18,18, 5.90,        Suburban,NA,68.65,28.46,     6.33,101.36,69.46,101.36,0,0,4.9,0,60,0.1,0.1,1,2,0,1
13,     VIC,2529,18,18, 5.60,        Suburban,NA,85.07,29.54,     6.41,88.98,71.97,88.99,0,0,4.88,0,2,0.1,0.1,1,2,0,1
14,     VIC,2529,18,18, 5.90,        Suburban,NA,66.94,21.82,     5.37,134.99,117.73,70.32,0,0,9.42,3.08,77,0.1,2.8,1,3,1,2
15,     VIC,2539,17,18, 5.20,        Suburban,NA,66.99,25.27,     5.22,227.48,227.48,0,0,0,7.08,0,4,0.32,3.02,2,3,1,2
16,     VIC,2529,18,18, 6.20,        Suburban,NA,59.55,29.17,     6.63,101.5,78.33,101.49,0,0,4.22,0,60,0.1,0.1,1,2,0,1
17,     VIC,3730,17,20, 6.10,        Suburban,NA,105.35,26.89,     2.13,242.19,192.5,242.19,0,0,0,0,0,0.4,0.4,2,4,0,1
18,     VIC,3730,17,20, 5.90,        Suburban,NA,132.61,25.39,     2.05,179.87,128.34,179.87,0,0,0,0,0,0.4,0.4,1,3,0,1
19,     VIC,3728,17,20, 6.00,            Open,NA,138.67,24.68,     1.89,147.49,110.69,147.49,0,0,0,0,0,0.4,0.4,1,3,0,1
21,     VIC,3730,15,20, 6.10,        Suburban,NA,109.62,27.99,     2.75,218.95,176.16,218.95,0,0,0,0,0,0.32,0.32,2,3,0,1
22,     VIC,3730,18,20, 6.80,        Suburban,NA,96.48,15.5,     2.21,198.3,165.12,198.3,0,0,0,0,0,0.4,0.4,2,4,0,1
23,     VIC,3730,18,20, 6.50,            Open,NA,113.61,7.86,     1.46,209.13,172.64,209.13,0,0,0,0,0,0.4,0.4,2,4,0,1
24,     VIC,3730,16,20, 6.30,        Suburban,NA,102.65,41.9,     2.60,191.82,123.72,191.82,0,0,0,0,0,0.32,0.32,1,3,0,1
25,     VIC,2640,17,20, 4.80,        Suburban,NA,130.06,50.76,     2.75,293.66,250.01,49.29,0,169.31,10.25,8.06,12,0.1,3.55,2,4,1,2
26,     VIC,2640,17,20, 4.80,        Suburban,NA,130.06,50.76,     2.75,293.66,250.01,49.29,0,169.31,10.25,8.06,12,0.1,3.55,2,4,1,2
27,     VIC,2644,18,20, 4.70,        Suburban,NA,146.01,46.91,     3.10,202,202.01,0,0,0,1.44,0,3,0.8,0.8,2,5,0,1
28,     VIC,3204,16,21, 6.10,        Suburban,NA,68.05,27.48,     2.79,327.07,297.49,191.74,0,0,0,0,0,0.31,3.05,3,4,1,2
29,     VIC,3204,16,21, 5.90,        Suburban,NA,72.86,26.25,     2.58,338.22,302.58,213.97,0,0,0,0,0,0.31,3.05,3,5,1,2
30,     VIC,3072,16,21, 6.00,        Suburban,NA,77.39,26.1,     2.71,292.49,263.89,187.35,0,0,0,0,0,0.38,3.13,3,4,1,2
31,     VIC,3204,16,21, 6.00,        Suburban,NA,88.45,26.61,     2.67,196.52,177.95,138.29,0,0,0,0,102,0.38,3.13,2,3,1,2
32,     VIC,3204,16,21, 6.30,        Suburban,NA,72.73,29.48,     2.76,212.13,195.06,144.89,0,0,0,0,102,0.38,3.13,2,3,1,2
33,     VIC,3204,16,21, 6.70,        Suburban,NA,73.56,13.43,     1.83,242.29,226.09,156.83,0,0,0,0,118,0.38,3.4,1,4,1,2
