Nvalid,StateName,NPostCode,NYear,NClimateZone,StarRating,Exposure,X,CertificateHeating,CertificateSCool,CertificateLCool,TotalFlArea,TotFloorArea,SlabOnGroundArea,FloorsAboveGround,SubfloorFloorArea,FloorsAboveNeighbours_100,CeilingsBelowNeighbours,TotalSharedSurfaceArea,FloorHeightmin,FloorHeightmax,NumberofLiving,NumberofBedrooms,MStorey,NStorey
1,      WA,6713,16,2,6.6,        Suburban,NA,     0.20,   137.02,53.22,189.35,189.35,189.35,0,0,0,0,0,0.1,0.1,2,4,0,1
2,      WA,6714,16,2,7.2,        Suburban,NA,     0.01,   116.60,49.36,238.4,238.4,238.4,0,0,0,0,0,0.45,0.45,2,4,0,1
3,      WA,6532,18,12,6.3,            Open,NA,    20.63,    31.47,4.06,189.85,156.35,189.85,0,0,0,0,0,0,0.26,1,3,0,1
4,      WA,6530,18,12,8.6,        Suburban,NA,     8.63,    10.51,1.83,218.82,177.89,218.82,0,0,0,0,0,0.01,0.09,2,4,0,1
5,      WA,6528,17,12,6.6,            Open,NA,    23.86,    19.52,3.65,221.68,221.68,221.68,0,0,0,0,0,0.1,0.1,2,3,0,1
6,      WA,6530,17,12,6.4,            Open,NA,    44.57,     7.66,1.2,248.73,190.96,190.96,0,0,0,0,0,0.01,0.1,1,3,0,1
7,      WA,6530,17,12,7.7,        Suburban,NA,    21.76,     7.07,4.63,186.19,186.19,186.19,0,0,0,0,0,0.1,0.1,2,2,0,1
8,      WA,6532,15,12,6.3,            Open,NA,    39.01,     7.96,4.41,258.55,219.35,258.55,0,0,0,0,0,0.01,0.1,3,4,0,1
9,      WA,6532,15,12,7.7,        Suburban,NA,    17.37,    15.46,4.46,166.4,131.1,166.4,0,0,0,0,0,0.1,0.1,2,4,0,1
10,      WA,6530,17,12,6.9,        Suburban,NA,    18.21,    14.40,7.36,252.95,252.95,32.89,0,101,0,0,0,0.45,0.45,1,4,0,1
11,      WA,6532,16,12,7.5,        Suburban,NA,    15.67,    19.94,5.1,166.4,131.1,166.4,0,0,0,0,0,0.1,0.1,2,4,0,1
12,      WA,6530,16,12,5.9,        Suburban,NA,    24.56,    29.59,3.16,209.86,168.85,109.42,0,0,0,0,0,0.01,2.5,2,3,0,2
13,      WA,6532,16,12,7.4,        Suburban,NA,    17.70,    20.09,4.63,166.4,131.1,166.4,0,0,0,0,0,0.1,0.1,2,4,0,1
14,      WA,6532,16,12,6.5,        Suburban,NA,    31.78,    14.34,3.39,261.7,201.3,273.76,0,0,0,0,0,0.1,0.1,2,4,0,1
15,      WA,6530,16,12,6.8,        Suburban,NA,    36.75,    13.97,4.54,146.4,106.2,146.4,0,0,0,0,0,0.1,0.1,1,3,0,1
16,      WA,6532,16,12,5.4,        Suburban,NA,    52.08,    15.25,3.67,141.51,141.51,116.32,0,0,0,0,0,0.09,0.09,2,3,0,1
