Nvalid,StateName,NPostCode,NYear,NClimateZone,StarRating,Exposure,X,CertificateHeating,CertificateSCool,CertificateLCool,TotalFlArea,TotFloorArea,SlabOnGroundArea,FloorsAboveGround,SubfloorFloorArea,FloorsAboveNeighbours_100,CeilingsBelowNeighbours,TotalSharedSurfaceArea,FloorHeightmin,FloorHeightmax,NumberofLiving,NumberofBedrooms,MStorey,NStorey
1,      WA,6713,16,2,6.6,        Suburban,NA,0.27,139.58,52.96,189.35,189.35,189.35,0,0,0,0,0,0.1,0.1,2,4,0,1
2,      WA,6714,16,2,7.2,        Suburban,NA,0.01,116.07,49.29,238.4,238.4,238.4,0,0,0,0,0,0.45,0.45,2,4,0,1
3,      WA,6532,18,12,6.2,            Open,NA,21.93,32.36,4.02,189.85,156.35,189.85,0,0,0,0,0,0,0.26,1,3,0,1
4,      WA,6530,18,12,8.6,        Suburban,NA,10.1,10.26,1.77,218.82,177.89,218.82,0,0,0,0,0,0.01,0.09,2,4,0,1
5,      WA,6528,17,12,6.4,            Open,NA,26.53,19.22,3.59,221.68,221.68,221.68,0,0,0,0,0,0.1,0.1,2,3,0,1
6,      WA,6530,17,12,6.4,            Open,NA,44.46,8.39,1.26,248.73,190.96,190.96,0,0,0,0,0,0.01,0.1,1,3,0,1
7,      WA,6530,17,12,7.5,        Suburban,NA,24.22,7.31,4.62,186.19,186.19,186.19,0,0,0,0,0,0.1,0.1,2,2,0,1
8,      WA,6532,15,12,6,            Open,NA,42.37,8.53,4.45,258.55,219.35,258.55,0,0,0,0,0,0.01,0.1,3,4,0,1
9,      WA,6532,15,12,7.5,        Suburban,NA,20.14,15.67,4.4,166.4,131.1,166.4,0,0,0,0,0,0.1,0.1,2,4,0,1
10,      WA,6530,17,12,6.9,        Suburban,NA,18.92,14.05,7.23,252.95,252.95,32.89,0,101,0,0,0,0.45,0.45,1,4,0,1
11,      WA,6532,16,12,7.3,        Suburban,NA,18.56,19.68,4.99,166.4,131.1,166.4,0,0,0,0,0,0.1,0.1,2,4,0,1
12,      WA,6530,16,12,6.2,        Suburban,NA,22.17,28.97,3.12,209.86,168.85,109.42,0,0,0,0,0,0.01,2.5,2,3,0,2
